,Review,Movie,image,lables,Status
20,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen",Joker,Movie_images\joker.jpg,1,Must Watch
21,"Avengers: Infinity War is a film that should be utter crap. A franchise stretching almost twenty films is unheard of. And making a great and satisfying climax to that franchise is nearly impossible. Considering how many characters Marvel had to juggle together with this movie, there was almost no way this movie wouldn't suck. But it didn't. Marvel pulled it off. All of the characters were balanced seemingly effortlessly. The action was amazing. The characters were funny. The story was compelling. Marvel made what should've been an overcrowded mess into one of the best superhero films ever made.This movie will sit you on the edge of your seat for 2 and a half hours. Hats off to the writers, directors, producers, and Marvel Studios.",Avenger: Infinity War,Movie_images\avenger_infinity_war.jpg,1,Must Watch
22,"If you're going to watch this movie, avoid any spoilers, even spoiler free reviews. Which is why I'm not going to say anything about the movie. Not even my opinion. All I'm going to say is:The crowd applauded 3 times during the movie, and stood up to clap their hands after. This I have never witnessed in a Dutch cinema. Dutch crowds aren't usually passionate about this. I checked the row where I was sitting, and people were crying. After the movie, I was seeing people with smudged mascara. That's all I have to say about the movie",Avenger: Eng Game,Movie_images\avenger_end_game.png,0,Average
23,"I have never seen such an amazing film since I saw The Shawshank Redemption. Shawshank encompasses friendships, hardships, hopes, and dreams. And what is so great about the movie is that it moves you, it gives you hope. Even though the circumstances between the characters and the viewers are quite different, you don't feel that far removed from what the characters are going through.It is a simple film, yet it has an everlasting message. Frank Darabont didn't need to put any kind of outlandish special effects to get us to love this film, the narration and the acting does that for him. Why this movie didn't win all seven Oscars is beyond me, but don't let that sway you to not see this film, let its ranking on the IMDb's top 250 list sway you, let your friends recommendation about the movie sway you.Set aside a little over two hours tonight and rent this movie. You will finally understand what everyone is talking about and you will understand why this is my all time favorite movie.",The Shawhank Redemption,Movie_images\the_shanshank_redemption.jpeg,1,Must Watch
24,"While watching 'Catch Me If You Can' I had so much fun I smiled constantly. Well, that smile was interrupted by laughs. The movie tells the story of Frank W. Abignale, Jr. who is just a kid as he pretends to be a schoolteacher. After his father and mother get a divorce he runs away and starts pretending to be a co-pilot, a doctor, a lawyer. The way he does this is funny and brilliant.I am not a big fan of Leonardo DiCaprio who plays Frank but in this movie he is perfect. He gives a very fine performance. Tom Hanks is the FBI-agent Carl who is after him, and as always Hanks is good.The story is inspired by a real story. I don't know in how many ways it is true but watching this guy all I wanted to see was him pulling more of his nice little tricks. The scene where he pretends to be a schoolteacher is just great. If you want a nice funny movie, not too heavy, this one will definitely please you.",Catch me If You Can,Movie_images\catch_me_if_you_can.png,1,Must Watch
25,"Rarely there has been a movie with such a good dark and chilling atmosphere. I even see this movie more as an horror movie than as a thriller because of that. ""Se7en"" is unique in many ways. The movies mood is already set right from the beginning on. The movie starts dark, intense, chilling and mysterious, a mood that is present throughout the entire movie. It's very depressing to watch and I mean that in a positive way of the meaning of the word. The mood is set by good camera work and lighting, or better said, the lack of it. The music from acclaimed composer Howard Shore also adds to the chilling atmosphere. Unlike many other movies from the same genre, the movie is slow paced and takes it time to develop the characters without falling into some obvious cliché's. The two main characters played by Morgan Freeman and Brad Pitt are presented as an unlikely police-couple that are different in many ways from each other but in a way that is also what makes them such a great couple. Brad Pitt for once has the opportunity to play more than just the pretty boy and he does it with success. Kevin Spacey truly plays a bone chilling character, almost just as legendary and chilling as Hannibal Lecter. I would very much like to see the two of them put in the same room, just to see who would make it out alive. Further more it was great to see R. Lee Emrey again as the police captain. The movie is filled with some truly gross, sickening and horrifying scene's, this seriously ain't no kids stuff! The movie has some of the most sickening murders I have ever seen featured in a movie. But it aren't just only the gross scene's that are good, there are also some scene's that are made with lot's of beauty and profession such as the library scene. Dark and chilling movie that you will never forget also thanks to the ending which I will not spoil for you. A real must see. 10/10",Se7en,Movie_images\seven.jpg,1,Must Watch
26,"Awesome action and swashbuckling adventure, great music from the likes of Hans Zimmer, good visuals and Johnny Depp's hilarious improvisational performance as Captain Jack Sparrow (the other performances are good as well but Depp's the highlight and you damn well know it) make the first Pirates of the Caribbean adventure a fun action flick that's not only a great first non-Touchstone/Hollywood Pictures/pre-2006 Miramax & Dimension PG-13 Disney movie but also a much better movie than a movie based off of a THEME PARK RIDE has the right to be.",Pirates of the Caribbean: The Curse of the Black Pearl,Movie_images\curse_of_black_pearl.jpg,1,Must Watch
27,"It's definitely no LOTR...But it's still a pretty cool movie. Sure, it took it's time to try to tell the story and dragged on for a little too long, but other than that, the special effects were great, and it was entertaining as hell. It's a good introduction to The Hobbit franchise.",The Hobbit: An Unexpected Journey,Movie_images\unexpected_journey.png,1,Must Watch
28,"At the start of J.K. Rowling, thank you for this wonderful series of books forever. I can tell you this current state of my childhood and my future. Sign up everywhere it has always been a part of Harry Potter's name. I'd say the most important series of my life. I owe my childhood such wonderful pass to the books and movies of this series. In this series, even though I know better than the series it has always been a special place for me in this series and it will always continue. This movie is definitely the best in the series. And the players is the most mature film. You feel throughout the film until the end of the final air and this is an amazing thing for fans like me. Book series as well as certainly never did. However, in each film it was pretty cool. And with incredible finale made this film. Harry certainly kept the best for last. Put all the music from the beginning to the end of the movie you are very successful and internal chills. You feel deeply cool is really going on. When the film ended up being a very big gap within you. Of course, you are a part of this world...",Harry Potter and The Deathly Hallows: part 2,Movie_images\the_deathly_hallows_part2.png,1,Must Watch
29,"I've just re-watched The Lord of the Rings trilogy for the 1000th time tonight... nearly 15 years since the Fellowship of the Rings was released... I still haven't seen a movie that's better, nor close, to any of these three films. The casting is perfection as well as the incredible acting by everyone in the movie. I can still watch these movies back to back and not get bored. They are a light to this world and wouldn't be the same without them.I miss the good old LOTR's days. The best movies ever created. The Return of the King was the best way to end a thrilling journey through middle earth!",The Lord of The Rings: The Return of The King,Movie_images\return_of_the_ring.jpg,1,Must Watch
30,"The film is as well crafted as the matrix itself! On another level entirely to any other science fiction film from the last 20 years . Getting lost in another world, is interly what Cinema is made for. This one takes you into a whole new universe interly .",The Matrix,Movie_images\the_matrix.jpg,1,Must Watch
31,"One of the funniest Marvel films is a comedy movie with distinction. A simple story. All the heroes of the film were excellent, especially Drax, Rocket, Groot, and Alcmestri among the heroes of the film was excellent. The music scene was great, especially Come And Get Your Love.",Guardian of the Galaxy,Movie_images\Guardians-of-the-Galaxy.jpg,1,Must Watch
32,"SpiderMan Homecoming is one of the most fun, exciting, and easily rewatchable films in the entire MCU. Tom Holland has a great performance as a young, inexperienced adaptation of Peter Parker. And that's a great new direction for the character. I've always thought that SpiderMan shouldn't be great at being SpiderMan at first. Tobey Maguires adaptation gets bitten by a spider and within a day or two masters all of his powers. But this movie hinges on the fact that Peter is still learning how to be a hero. That's perfect.",Spider-Man: Homecoming,Movie_images\spide_man_himecoming.jpg,1,Must Watch
33,"""The Conjuring"" is one of the most thrilling horror film to have come out in recent times. It is up there with ""Sinister"" as one of the scariest films I have watched. Since it's based off of ""true events"", it makes it even more interesting. I can't quite give it a full 10 star rating because it does have quite a few jump scares, but at least a good portion of those jump scares add to the atmosphere of this movie. If you are a first time watcher of this movie, it will certainly disturb you for a while. It doesn't stick with me like ""Sinister"" does long after, but The Conjuring is a fun watch and I always love coming back for a rewatch every now and then.",The Conjuring,Movie_images\the_conjuring.png,1,Must Watch
34,"I managed to win a preview screening to 'IT' on the 30th of August, in Sydney. I had high expectations for this film - and IT exceeded them.The acting. Great performances all round. The kids had great chemistry, and you really believe that they were all great friends. It reminded me of Stand By Me and The Goonies. Out of the child actors, Richie (played by Finn Wolfhard) was my favourite and his jokes cracked the whole cinema up. Bill Skarsgård as Pennywise is scary and really creeped me out, but for me there was just something missing about his character and I think he wasn't given enough dialogue.A minor flaw for me was that the plot was a bit rushed, in terms with the development of Mike (played by Chosen Jacobs), but for an adaption from a book, they managed to condense the original material very well.Overall, it (no pun intended) was a great thriller film that kept me on the edge of my seat, with strong performances.",It,Movie_images\it.jpg,1,Must Watch
35,"I sat in a packed yet silent theater this morning and watched, what I believe to be, the next Academy Award winner for the Best Picture. I'm not at all a fan of war movies but I am a fan of great movies....and 1917 is a great movie. I have never been so mesmerized by set design and direction, the mass human emotion of this film is astonishingly captured and embedded magically in the audience. It keeps running through my mind...the poetry and beauty intertwined with the raw misery of war. Treat yourself....see this movie!",1917,Movie_images\1917.jpg,1,Must Watch
36,"Let's clear the air about this film. It's not a horror film. It's not a comedy. What it is, is a suspenseful thriller of the highest level, worthy to be compared to Hitchcock caliber. The humor is there, along with a few horror scenes, but not enough to overshadow the main theme of the story. The film hits all cylinders with almost no misfires. As far as complaints that the film is racist, it is not. It would work just as well with an all-black or all-white cast. Those complaints are from people who are uncomfortable with black people or interracial relationships and are letting it distract them from the narrative of the film. I most certainly hope that it reaches the wider audience that it so richly deserves.",Get Out,Movie_images\getout.jpg,0,Average
37,"The most traumatizing installment but very enjoyable none the less! I love so much of the film, the colors, cars, dialogue, and the fun vibes. Such a great movie, it's been many years since I've seen it. The motorcycle gang is such an annoyance to the plot would've been better without them.",The Fast and The Furious,Movie_images\the_fast_the_furious.jpg,1,Must Watch
38,"I asked my co-workers to recommend a Bollywood movie. I expected ""Dumb and Dumber"" by the title. It wasn't that at all. It is more of an inspirational comedy with some serious but good messages. A more accurate title would have been ""The Legend of Rancho"".Odd to me is that they speak in part English, part Hindi through the movie, kinda like some speak ""Spanglish"" here I suppose. I know none of the actors but the acting was good, and there was plenty of humor. The characters were believable. Most movie dancing I find a little silly but I even liked the dancing routines in the bathroom.I will be asking my co-workers for more recommendations after this one!",3 Idiots,Movie_images\3_Idiots.png,1,Must Watch
39,"DANGAL is a masterpiece. A terrific film that stays in your heart and remains etched in your memory much after the screening has concluded. A brilliant film that restores your faith in Hindi cinema. Actually, it won't be erroneous to state that DANGAL is the finest film to come out of the Hindi film industry in a long, long time and mark my words, it will be remembered as a classic in times to come. It blends drama, emotions, sportsmanship and patriotism extraordinarily the icing on the cake being Aamir Khan's towering act. This rich-in-merits film has a major advantage too -- the holidays ahead Christmas and New Year -- which will ensure a glorious run at the ticket counters. A must, must watch!",Dangal,Movie_images\dangal.jpg,1,Must Watch
40,"It's my first review after becoming a member for 5 years in this site anyway. Despite the weakness of the film, I love this Nitesh Tiwari directional. it's full of hilarious moments made us (audience) laught out loud. We will be invited to reminisce into college days like 3 Idiots with different atmosphere and themes, but with almost the same impact. I know, the transition of flashback scene was not seamless. Sometimes, it seemed out of control. But believe me, it'll be still on the right track till the end. The performances of lead cast was also just okay, not that great. It was the supporting cast who looked stunning in this film. But overall, the chemistry between casts was excellent. Go for this one! You will regret if you missed watching this film at nearby cinema! Unfortunately, this one is limited in my country, Indonesia.",Chhichhore,Movie_images\chhichhore.jpg,1,Must Watch
41,"If I have to say in one word then it'd be MASTERPIECE. It can very well be a classic...a cult classic like Border. This movie doesn't portray blatant Jingoism but strikes the right chords of patriotism with maintaining the right balance. It is so well done that you'd crave for more even if it ends. Everyone performed very well and Vicky Kaushal was stunning. The movie is very inspiring and everyone especially the young generation should watch it to know what the army men do for them. The movie is not political at all but yellow media will try to demean it for 'certain' reasons. I still can't get over the top notch screenplay, direction, background scores, visuals and performances. A straight 9.5/10 (or may be 10/10 if I don't be skeptical) from me.",URI: The Surgical Strike,Movie_images\uri.jpg,1,Must Watch
42,"If a person is bit of into movies, I am sure that person heard about Baahubali couple of years back. It took almost four years to complete the first part. Hero Prabhas had completely dedicated his time to this movie and no movie after his super successful movie Mirchi. Same is true from S.S Rajamouly, after his last non-conventional movie Eega. So obviously there are high expectations.I was eagerly waiting for this movie and within no time I booked the tickets and went with my family. The results are out now, history books are being rewritten. An excellent movie, every frame is a mega scale. I couldn't remember a single scene which I felt bored. This movie will redefine Indian movie standards. Nothing less than The Lord of the Rings or in fact, can easily compete with any Hollywood movie.Each and every character superbly framed. Every actor has done a decent job and Prabhas and Raana are over the sky, earned more than 100% credit. Can't wait for part 2.Overall It's a superb visual treat.",Bahubali: The Beginning,Movie_images\bhahubbali_begining.jpeg,0,Average
43,"Me and my wife have very different movie tastes. Yet, this one is our mutual favorite. There's something about this film that is strongly related to the human condition and it manages to reach deep down into your soul. This is timeless, universal entertainment. If you were to somehow manage a prehistoric caveman see this film, I'm sure he could also somehow relate to the story and be wildly entertained in a similar way a modern person does. It's easily the best film I've seen in my life and it's a crime to score it anything lower than 10",Mad Max: Fury Road,Movie_images\mad_max.jpg,0,Average
44,"Here's the deal: It's real, it's heavy, and it's inspirational, but NOT AT ALL cheesy. Don't like that? Don't see it. I won't say much else. I will say that Will Smith was shockingly good now that he's paid his dues with ""Men in Black"" and ""Bad Boys.""I was very happy that this film never got political and blamed Reagan for the number of ""down on their luck"" people that were shown, nor was the race card ever pulled out. It was also refreshing that Smith's character never blamed anybody for his troubles.It's very funny at parts, but be prepared for some serious drama. In no ways is it cliché or contrived or boring. Let's just say that's it not Oliver Stone dramatic. This truly is a must see. To say ""I laughed, I cried"" would be really lame. It is the truth, though.We know that Scorsese's crowning achievement ""The Departed"" is going to take the cake at the Oscars, and I won't be complaining. But this movie deserves to be experienced and taken in by the masses.",The Pursuit of Happiness,Movie_images\pursuit_happiness.jpg,1,Must Watch
45,"If you were born in the 90s or before, you had a connection with people...you absolutely loved this movie, and it made a mark on you. I think most people remember when they saw this movie first, because it was that awe inspiring of an experience. I remember that it was the first pg-13 movie I was allowed to watch, and what a way to start my grown up movie experience!!! Everything in this movie screams adventure, from the opening scene where the jungle leaves rustle, the shot of mysterious sparkling amber, to the landing of the helicopter on a remote rainforest island, the movie sets the tone for the greatest adventure movie ever made. As you hear John Williams glorious theme start to swell, and you see Alan remove his glasses and start to tremble, you know you're about to witness one of the most magical moments ever put on cinema. I can't go into detail on all the incredible scenes, from the T-Rex reveal, to the kitchen scene, but each one of them revolutionized what we thought movie magic could take us. Thank you Spielberg for making this enchanting piece of art for us, an entire generation is indebted to you.",Jurassic Park,Movie_images\jurassic_park.jpg,1,Must Watch
46,"I went to see this film with my sister and my Mum and we were the only ones in the cinema. Not the best start, but I continued to watch it anyway and am so glad I did. This is probably one of the most beautiful and romantic films I have ever seen! From the relationship of the two characters to their surroundings, every scene is breathtaking! The Notebook tells the story of a summer romance that turns into a romance never to be forgotten. Allie and Noah are the two lead characters and they are wonderful. You immediately fall in love with the characters and you want to follow every step of their doomed love story. it is one of the greatest love stories ever told. Look out for the lake scene, unbelievable! I came out of the cinema wanting to go back in again and watch it all over again. It feels like you are reading a diary watching this film, thats how detailed and wonderful this film is. Cannot really give too much away about the story, all I can say is if you haven't seen this film yet, be sure to see it. I cannot think of a film more perfect for Valentines Day!",The Notebook,Movie_images\notebook.jpg,1,Must Watch
47,"I did not want to watch this movie but took my wife to see it, because we both saw the one with Kris Kristofferson and Barbra Streisand, growing up. The crowd was a lot older than we were(we are almost 50) it was the biggest screen they had at our theater and seats a lot but it was maybe half full on Sunday afternoon. Not one dry eye in the place, it had a great tempo and didn't drag on or have any lulls in the story. We were both very pleased and are still engaging in conversations about the movie. It's my opinion to highly recommend to everyone go out and watch a great movie and a heartfelt movie that redefines love in this time and age we live in. That is my two cents, hope you enjoy as much as we have.",A Star is Born,Movie_images\strat_born.jpg,1,Must Watch
48,"The vibrant colors and use of musical scores to set the mood for scenes transported myself back in time. This movie feels not only like a beautifully nostalgic nod to Hollywood of yesteryear, but also that of a timeless love story. Gosling and Stone have a charm to their chemistry on screen during the musical and dance numbers. All these aspects lead to a raw portrayal of love that many experience in life, with still providing a sense of hope and wonder to the viewers. I was entranced from the opening scene until the final note played by Goslings piano. I absolutely recommend this film to any and everyone!",La La Land,Movie_images\la_la_land.jpg,1,Must Watch
49,"Honestly, I found the DVD of this film in my house and decided to give it a watch as I had nothing better to do. Truth is I really should have made the time before.Although I enjoy all the other Disney/pixar movies, I am at that teenage age where I mainly seek Violence, sex and gore. Thankfully my teenage boredom did me a big favour in helping what this fantastic masterpiece. This film was so fantastically deep, meaningful and moving beyond relief, as soon as I switched it off I rang my grandparents to tell them I love them.It should be made necessary that everyone everywhere should see this film and I think the world would be a much better place - it really is that good.",Up,Movie_images\up.jpg,0,Average
50,This film shows that Christopher Nolan does not only depend on crazy action or crazy plot twist. He shows 3 separate stories that come together and tells us a good story.,Dunkirk,Movie_images\dunkirk.jpg,1,Must Watch
51,"Greetings from Lithuania. WOW! The best word that describes this movie is ""wow""! Not only to say that this is the best Action movie of all time, this is probably one of the greatest movies ever made . The people in my country watched this film when there where limited VHS cassettes at all. And again, my favorite Director did an timeless epic-masterpiece. Yes, an epic. Every scene in this movie is beyond the perfection. The timeless plot. Groundbreaking effects. Unforgettable ""Hasta la vista, baby."" .Perfect direction for a sci-fix action film. When the action starts, you're in for the ride of your life. There never be the same movie like T2. What else I can say about this film? A Must see for everyone.",Terminator 2: Judgement Day,Movie_images\terminator2.jpg,1,Must Watch
52,"Alien remains one of the most original, terrifying movies of all time. Compare this with the lame sci fi horrors we get nowadays, 1979, and it still packs a huge punch.Fantastically atmospheric, chilling and terrifying even now, the story holds up incredibly well. The special effects were incredible for the time, no wonder the franchise is still in demand, though sadly nowhere near the quality of this one or its amazing successor.The music is fantastic, the direction is incredible, and as for the Alien itself, way ahead of its time. Weaver is phenomenal, but arguably she's upstaged by the creature.You can't help but remember scenes days after watching it, it definitely has the chill factor.A cinematic masterpiece. 10/10",Alien,Movie_images\alien.jpg,1,Must Watch
53,"I am now trying to find words to describe this movie for an hour. I couldn't.You've seen it, or you haven't. It's monumental and outrageously good.The cast is brilliant. The jokes lovely. The story and the idea behind the movie is beautiful. Especially when you've worked/lived with handicapped people. The music is such a perfect choice, it is unbelievable.I hope this movie makes a plenty of people think about how good their life is and how bad it could have been.Bottom line: Oscar-worthy. Period.",The Intouchables,Movie_images\intouchable.jpg,1,Must Watch
54,"At first I thought it would be dumb, but omg it was AMAZING! The story was awesome (I won't give any spoilers) and there were parts that made me laugh so hard and parts that made me cry. I don't usually cry during movies, but I'm sitting here writing this review with tears in my eyes. I think it is going to become a new movie to watch every Christmas with my family!",Klaus,Movie_images\klaus.jpg,1,Must Watch
